dish_name,dish_description,dish_type,allergens,Category,Price
Chicken Milanese -0,"Fresh Norwegian salmon, lightly brushed with our herbed Dijon mustard sauce, with choice of two sides.",Non-Veg,Soy,Chechen,176.15
Tuna Sashimi -1,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Sulphites,Serbian,169.58
Caesar Salad -2,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Veg,Soy,Japanese,87.34
Chicken Milanese -3,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Veg,Crustaceans and molluscs,Portuguese,154.29
California Maki -4,"Breaded fried chicken with waffles, and a side of maple syrup.",Non-Veg,Fish,Goan,184.24
Tuna Sashimi -5,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Veg,Fish,Indian Chinese,175.41
Barbecue Ribs -6,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Eggs,Indian Singaporean cuisine,177.59
Pork Belly Buns -7,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",Veg,Soy,Indian Chinese,54.4
Sushi -8,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",Veg,Fish,Thai,111.08
Barbecue Ribs -9,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",Non-Veg,Milk,Belarusian,191.49
Caesar Salad -10,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Veg,Mustard,Lithuanian,134.51
Scotch Eggs -11,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Milk,Cantonese,120.55
Chicken Parm -12,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Non-Veg,Fish,Caribbean,65.32
