dish_name,dish_description,dish_type,allergens,Category,Price
Caprese Salad -0,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Sesame seeds,Albanian,99.12
Stinky Tofu -1,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Veg,Crustaceans and molluscs,Chinese Islamic,134.1
Chicken Wings -2,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Tree Nuts,English,67.25
Poke -3,"Breaded fried chicken with waffles, and a side of maple syrup.",Veg,Crustaceans and molluscs,Thai,186.84
Massaman Curry -4,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",Non-Veg,Eggs,Bashkir,172.17
Souvlaki -5,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",Non-Veg,Eggs,Armenian,161.53
Pasta and Beans -6,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Non-Veg,Wheat and triticale,Italian-American,61.11
Fish and Chips -7,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Veg,Peanuts,Indonesian,174.9
Pho -8,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Veg,Wheat and triticale,Mediterranean cuisine,161.16
Bunny Chow -9,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Non-Veg,Fish,Udupi,52.76
Linguine with Clams -10,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Tree Nuts,American,153.35
Seafood Paella -11,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",Non-Veg,Mustard,Latvian,62.65
Bruschette with Tomato -12,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",Non-Veg,Sulphites,Serbian,151.33
Peking Duck -13,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Mustard,Japanese,66.55
Pasta Carbonara -14,Breaded fried chicken with waffles. Served with maple syrup.,Veg,Tree Nuts,Serbian,197.65
Barbecue Ribs -15,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Veg,Eggs,Malaysian Chinese cuisine,142.44
Poke -16,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Soy,Filipino,103.72
Chilli con Carne -17,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Crustaceans and molluscs,Soviet,93.22
Pappardelle alla Bolognese -18,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Eggs,Czech,64.87
Kebab -19,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Veg,Fish,Jewish - Israeli,74.79
Cheeseburger -20,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Wheat and triticale,Jewish - Israeli,194.63
Lasagne -21,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Wheat and triticale,Malaysian Indian cuisine,190.76
Som Tam -22,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",Non-Veg,Sulphites,Albanian,93.15
Bruschette with Tomato -23,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Mustard,Indian Chinese,146.16
Kebab -24,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Veg,Mustard,Andhra,83.61
Stinky Tofu -25,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Veg,Sesame seeds,Jewish - Israeli,90.68
Pasta and Beans -26,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Soy,Sindhi,191.83
Barbecue Ribs -27,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Non-Veg,Soy,Armenian,178.3
Scotch Eggs -28,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Non-Veg,Sesame seeds,Italian-American,156.97
Salmon Nigiri -29,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Sulphites,Ukrainian,93.71
Pizza -30,Breaded fried chicken with waffles. Served with maple syrup.,Veg,Mustard,Nepalese,167.07
Poutine -31,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Veg,Wheat and triticale,British,142.09
Lasagne -32,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",Veg,Sulphites,Egyptian,142.19
Pork Belly Buns -33,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Mustard,Mediterranean cuisine,84.27
Hummus -34,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Non-Veg,Tree Nuts,Mexican,140.17
Pork Belly Buns -35,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",Veg,Wheat and triticale,Hyderabad,163.77
Pierogi -36,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Veg,Crustaceans and molluscs,Maharashtrian,96.61
California Maki -37,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Wheat and triticale,Bashkir,55.52
Souvlaki -38,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Veg,Soy,Vietnamese,146.55
Pasta and Beans -39,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Non-Veg,Eggs,Romanian,74.73
